participant	behavioral approach/inhibition systems	Barratt Impulsiveness Scale	DOSPERT 	Positive and Negative Affect Scale	balloon analogue risk task	stop signal task	breath-holding	paired associate learning	paired associate recall	spatial working memory task	Wechsler Memory Scale Fourth Edition	letter number sequencing	Wechsler Adult Intelligence Scale - Revised	n-back task	Scale for the Assessment of Negative Symptoms	Scale for the Assessment of Positive Symptoms	big five questionnaire	Mini Mental State Examination	PEBL Perceptual Vigilance Task	Raven's Advanced Progressive Matrices	Kaufman Brief Intelligence Test	theory of mind task	Stroop task	Comprehensive Test of Phonological Processing	Peabody Picture Vocabulary Test	Wechsler Abbreviated Scale of Intelligence	multisource interference task	Center for Epidemiologic Studies Depression Scale	Kirby Delay Discounting Task	UPPS-P Impulsivity Scale	Zuckerman Sensation Seeking Scale	Eriksen flanker task	Continuous Performance Task	Emotion Regulation Questionnaire	Motor Screening Task	Reaction Time	Rapid Visual Information Processing	Stockings of Cambridge Task	Edinburgh Handedness Inventory	National Adult Reading Test	Structured Clinical Interview for Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)
sub-01	cogatlas:trm_56a9137d9dce1	cogatlas:trm_55a6a8e81b7f4	cogatlas:trm_5696abecf2569	cogatlas:tsk_4a57abb949d09	cogatlas:trm_4d559bcd67c18	cogatlas:tsk_4a57abb949e1a	cogatlas:trm_4c898a680e424	cogatlas:trm_4da88a2a63d97	cogatlas:trm_4c8991e6e8597	cogatlas:trm_4f2453b806fe1	cogatlas:trm_4b94b12bf0eb2	cogatlas:trm_4c3e0a9576c3b	cogatlas:tsk_4a57abb949f12	cogatlas:tsk_4a57abb949bcd	cogatlas:trm_55a6a36d9c3f9	cogatlas:trm_55a6cffbcb5f7	cogatlas:trm_523f5c17d7edb	cogatlas:tsk_4a57abb949bb1	cogatlas:trm_50b55d8a6da00	cogatlas:trm_4f24211a03b07	cogatlas:trm_529ce6ecb35f8	cogatlas:trm_4c8a8467304e2	cogatlas:tsk_4a57abb949e27	cogatlas:trm_526027c99b726	cogatlas:trm_5266bebe14d2e	cogatlas:trm_4b94affc43245	cogatlas:trm_4f2419c4a1646	cogatlas:trm_5258346e72223	cogatlas:trm_56bbee951f161	cogatlas:trm_56a91a92043bc	cogatlas:trm_56abebfe9aaa3	cogatlas:tsk_4a57abb949a4f	cogatlas:trm_57c0c34e61fdf	cogatlas:trm_56bbead1a7ed4	cogatlas:trm_50f72e93ea9e3	cogatlas:trm_50f84e8ab7af8	cogatlas:trm_50f8516279419	cogatlas:trm_4da890cf99b9e	cogatlas:tsk_4a57abb949a41	cogatlas:trm_5798f5c57048d	cogatlas:tsk_4a57abb949e35
